
Parent structure (123 P4/mmm)
a=3.90481, b=3.90481, c=15.14470, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x        y        z        occ  
O8   1a    0.50000   0.75000   0.50926  1.00000  0.28048  
O10  1a    0.75000   0.00000   0.00000  1.00000  0.00000  
O14  1a    0.75000   0.00000   0.50000  1.00000  0.00000  
O12  1a    0.75000   0.50000   0.00000  1.00000  0.00000  
O16  1a    0.75000   0.50000   0.50000  1.00000  0.00000  
O9   1a    0.25000   0.00000   0.00000  1.00000  0.00000  
O13  1a    0.25000   0.00000   0.50000  1.00000  0.00000  
O11  1a    0.25000   0.50000   0.00000  1.00000  0.00000  
O15  1a    0.25000   0.50000   0.50000  1.00000  0.00000  
O17  1a    0.00000  -0.03106   0.06408  1.00000  0.24257  
O21  1a    0.00000  -0.03106   0.56408  1.00000  0.24257  
O19  1a    0.00000   0.53106   0.06408  1.00000  0.24257  
O23  1a    0.00000   0.53106   0.56408  1.00000  0.24257  
O18  1a    0.50000   0.03106   0.06408  1.00000  0.24257  
O22  1a    0.50000   0.03106   0.56408  1.00000  0.24257  
O20  1a    0.50000   0.46894   0.06408  1.00000  0.24257  
O24  1a    0.50000   0.46894   0.56408  1.00000  0.24257  
O29  1a    0.00000   0.03106   0.93592  1.00000  0.24257  
O25  1a    0.00000   0.03106   0.43592  1.00000  0.24257  
O31  1a    0.00000   0.46894   0.93592  1.00000  0.24257  
O27  1a    0.00000   0.46894   0.43592  1.00000  0.24257  
O30  1a    0.50000  -0.03106   0.93592  1.00000  0.24257  
O26  1a    0.50000  -0.03106   0.43592  1.00000  0.24257  
O32  1a    0.50000   0.53106   0.93592  1.00000  0.24257  
O28  1a    0.50000   0.53106   0.43592  1.00000  0.24257  
O33  1a    0.00000   0.25000   0.12079  1.00000  0.12600  
O37  1a    0.00000   0.25000   0.62079  1.00000  0.12600  
O35  1a    0.00000   0.75000   0.12911  1.00000  0.12600  
O39  1a    0.00000   0.75000   0.62911  1.00000  0.12600  
O34  1a    0.50000   0.25000   0.12911  1.00000  0.12600  
O38  1a    0.50000   0.25000   0.62911  1.00000  0.12600  
O36  1a    0.50000   0.75000   0.12079  1.00000  0.12600  
O40  1a    0.50000   0.75000   0.62079  1.00000  0.12600  
O55  1a    0.00000   0.75000   0.87921  1.00000  0.12600  
O51  1a    0.00000   0.75000   0.37921  1.00000  0.12600  
O53  1a    0.00000   0.25000   0.87089  1.00000  0.12600  
O49  1a    0.00000   0.25000   0.37089  1.00000  0.12600  
O56  1a    0.50000   0.75000   0.87089  1.00000  0.12600  
O52  1a    0.50000   0.75000   0.37089  1.00000  0.12600  
O54  1a    0.50000   0.25000   0.87921  1.00000  0.12600  
O50  1a    0.50000   0.25000   0.37921  1.00000  0.12600  
O62  1a    0.75000   0.00000   0.87505  1.00000  0.00000  
O58  1a    0.75000   0.00000   0.37505  1.00000  0.00000  
O64  1a    0.75000   0.50000   0.87505  1.00000  0.00000  
O60  1a    0.75000   0.50000   0.37505  1.00000  0.00000  
O61  1a    0.25000   0.00000   0.87505  1.00000  0.00000  
O57  1a    0.25000   0.00000   0.37505  1.00000  0.00000  
O63  1a    0.25000   0.50000   0.87505  1.00000  0.00000  
O59  1a    0.25000   0.50000   0.37505  1.00000  0.00000  
O42  1a    0.75000   0.00000   0.12495  1.00000  0.00000  
O46  1a    0.75000   0.00000   0.62495  1.00000  0.00000  
O44  1a    0.75000   0.50000   0.12495  1.00000  0.00000  
O48  1a    0.75000   0.50000   0.62495  1.00000  0.00000  
O41  1a    0.25000   0.00000   0.12495  1.00000  0.00000  
O45  1a    0.25000   0.00000   0.62495  1.00000  0.00000  
O43  1a    0.25000   0.50000   0.12495  1.00000  0.00000  
O47  1a    0.25000   0.50000   0.62495  1.00000  0.00000  
O65  1a    0.00000   0.00717   0.19732  1.00000  0.05600  
O69  1a    0.00000   0.00717   0.69732  1.00000  0.05600  
O67  1a    0.00000   0.49283   0.19732  1.00000  0.05600  
O71  1a    0.00000   0.49283   0.69732  1.00000  0.05600  
O66  1a    0.50000  -0.00717   0.19732  1.00000  0.05600  
O70  1a    0.50000  -0.00717   0.69732  1.00000  0.05600  
O68  1a    0.50000   0.50717   0.19732  1.00000  0.05600  
O72  1a    0.50000   0.50717   0.69732  1.00000  0.05600  
O77  1a    0.00000  -0.00717   0.80268  1.00000  0.05600  
O73  1a    0.00000  -0.00717   0.30268  1.00000  0.05600  
O79  1a    0.00000   0.50717   0.80268  1.00000  0.05600  
O75  1a    0.00000   0.50717   0.30268  1.00000  0.05600  
O78  1a    0.50000   0.00717   0.80268  1.00000  0.05600  
O74  1a    0.50000   0.00717   0.30268  1.00000  0.05600  
O80  1a    0.50000   0.49283   0.80268  1.00000  0.05600  
O76  1a    0.50000   0.49283   0.30268  1.00000  0.05600  
 
Displacive mode definitions
atom    x        y        z        dx      dy      dz   
P4/mmm[0,0,0]GM1+(a)[Ca1:h:dsp]A1(a) normfactor = 0.00825
Ca1   0.25000  0.25000  0.07405  0.0000  0.0000  1.0000 
Ca5   0.25000  0.25000  0.57405  0.0000  0.0000  1.0000 
Ca3   0.25000  0.75000  0.07405  0.0000  0.0000  1.0000 
Ca7   0.25000  0.75000  0.57405  0.0000  0.0000  1.0000 
Ca2   0.75000  0.25000  0.07405  0.0000  0.0000  1.0000 
Ca6   0.75000  0.25000  0.57405  0.0000  0.0000  1.0000 
Ca4   0.75000  0.75000  0.07405  0.0000  0.0000  1.0000 
Ca8   0.75000  0.75000  0.57405  0.0000  0.0000  1.0000 
Ca15  0.25000  0.75000  0.92595  0.0000  0.0000 -1.0000 
Ca11  0.25000  0.75000  0.42595  0.0000  0.0000 -1.0000 
Ca13  0.25000  0.25000  0.92595  0.0000  0.0000 -1.0000 
Ca9   0.25000  0.25000  0.42595  0.0000  0.0000 -1.0000 
Ca16  0.75000  0.75000  0.92595  0.0000  0.0000 -1.0000 
Ca12  0.75000  0.75000  0.42595  0.0000  0.0000 -1.0000 
Ca14  0.75000  0.25000  0.92595  0.0000  0.0000 -1.0000 
Ca10  0.75000  0.25000  0.42595  0.0000  0.0000 -1.0000 
 
P4/mmm[0,0,0]GM1+(a)[Nb2:g:dsp]A1(a) normfactor = 0.00825
Nb9   0.00000  0.00000  0.13883  0.0000  0.0000  1.0000 
Nb13  0.00000  0.00000  0.63883  0.0000  0.0000  1.0000 
Nb11  0.00000  0.50000  0.13883  0.0000  0.0000  1.0000 
Nb15  0.00000  0.50000  0.63883  0.0000  0.0000  1.0000 
Nb10  0.50000  0.00000  0.13883  0.0000  0.0000  1.0000 
Nb14  0.50000  0.00000  0.63883  0.0000  0.0000  1.0000 
Nb12  0.50000  0.50000  0.13883  0.0000  0.0000  1.0000 
Nb16  0.50000  0.50000  0.63883  0.0000  0.0000  1.0000 
Nb21  0.00000  0.00000  0.86117  0.0000  0.0000 -1.0000 
Nb17  0.00000  0.00000  0.36117  0.0000  0.0000 -1.0000 
Nb23  0.00000  0.50000  0.86117  0.0000  0.0000 -1.0000 
Nb19  0.00000  0.50000  0.36117  0.0000  0.0000 -1.0000 
Nb22  0.50000  0.00000  0.86117  0.0000  0.0000 -1.0000 
Nb18  0.50000  0.00000  0.36117  0.0000  0.0000 -1.0000 
Nb24  0.50000  0.50000  0.86117  0.0000  0.0000 -1.0000 
Nb20  0.50000  0.50000  0.36117  0.0000  0.0000 -1.0000 
 
P4/mmm[0,0,0]GM1+(a)[O3:g:dsp]A1(a) normfactor = 0.00825
O17   0.00000  0.00000  0.06408  0.0000  0.0000  1.0000 
O21   0.00000  0.00000  0.56408  0.0000  0.0000  1.0000 
O19   0.00000  0.50000  0.06408  0.0000  0.0000  1.0000 
O23   0.00000  0.50000  0.56408  0.0000  0.0000  1.0000 
O18   0.50000  0.00000  0.06408  0.0000  0.0000  1.0000 
O22   0.50000  0.00000  0.56408  0.0000  0.0000  1.0000 
O20   0.50000  0.50000  0.06408  0.0000  0.0000  1.0000 
O24   0.50000  0.50000  0.56408  0.0000  0.0000  1.0000 
O29   0.00000  0.00000  0.93592  0.0000  0.0000 -1.0000 
O25   0.00000  0.00000  0.43592  0.0000  0.0000 -1.0000 
O31   0.00000  0.50000  0.93592  0.0000  0.0000 -1.0000 
O27   0.00000  0.50000  0.43592  0.0000  0.0000 -1.0000 
O30   0.50000  0.00000  0.93592  0.0000  0.0000 -1.0000 
