
Parent structure (123 P4/mmm)
a=3.92640, b=3.92640, c=15.18110, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x        y        z        occ  
O34  1a    0.50000  0.25000  0.13118  1.00000  0.00000  
O38  1a    0.50000  0.25000  0.63118  1.00000  0.00000  
O36  1a    0.50000  0.75000  0.13118  1.00000  0.00000  
O40  1a    0.50000  0.75000  0.63118  1.00000  0.00000  
O55  1a    0.00000  0.75000  0.86882  1.00000  0.00000  
O51  1a    0.00000  0.75000  0.36882  1.00000  0.00000  
O53  1a    0.00000  0.25000  0.86882  1.00000  0.00000  
O49  1a    0.00000  0.25000  0.36882  1.00000  0.00000  
O56  1a    0.50000  0.75000  0.86882  1.00000  0.00000  
O52  1a    0.50000  0.75000  0.36882  1.00000  0.00000  
O54  1a    0.50000  0.25000  0.86882  1.00000  0.00000  
O50  1a    0.50000  0.25000  0.36882  1.00000  0.00000  
O62  1a    0.75000  0.00000  0.86882  1.00000  0.00000  
O58  1a    0.75000  0.00000  0.36882  1.00000  0.00000  
O64  1a    0.75000  0.50000  0.86882  1.00000  0.00000  
O60  1a    0.75000  0.50000  0.36882  1.00000  0.00000  
O61  1a    0.25000  0.00000  0.86882  1.00000  0.00000  
O57  1a    0.25000  0.00000  0.36882  1.00000  0.00000  
O63  1a    0.25000  0.50000  0.86882  1.00000  0.00000  
O59  1a    0.25000  0.50000  0.36882  1.00000  0.00000  
O42  1a    0.75000  0.00000  0.13118  1.00000  0.00000  
O46  1a    0.75000  0.00000  0.63118  1.00000  0.00000  
O44  1a    0.75000  0.50000  0.13118  1.00000  0.00000  
O48  1a    0.75000  0.50000  0.63118  1.00000  0.00000  
O41  1a    0.25000  0.00000  0.13118  1.00000  0.00000  
O45  1a    0.25000  0.00000  0.63118  1.00000  0.00000  
O43  1a    0.25000  0.50000  0.13118  1.00000  0.00000  
O47  1a    0.25000  0.50000  0.63118  1.00000  0.00000  
O65  1a    0.00000  0.00000  0.20187  1.00000  0.00000  
O69  1a    0.00000  0.00000  0.70187  1.00000  0.00000  
O67  1a    0.00000  0.50000  0.20187  1.00000  0.00000  
O71  1a    0.00000  0.50000  0.70187  1.00000  0.00000  
O66  1a    0.50000  0.00000  0.20187  1.00000  0.00000  
O70  1a    0.50000  0.00000  0.70187  1.00000  0.00000  
O68  1a    0.50000  0.50000  0.20187  1.00000  0.00000  
O72  1a    0.50000  0.50000  0.70187  1.00000  0.00000  
O77  1a    0.00000  0.00000  0.79813  1.00000  0.00000  
O73  1a    0.00000  0.00000  0.29813  1.00000  0.00000  
O79  1a    0.00000  0.50000  0.79813  1.00000  0.00000  
O75  1a    0.00000  0.50000  0.29813  1.00000  0.00000  
O78  1a    0.50000  0.00000  0.79813  1.00000  0.00000  
O74  1a    0.50000  0.00000  0.29813  1.00000  0.00000  
O80  1a    0.50000  0.50000  0.79813  1.00000  0.00000  
O76  1a    0.50000  0.50000  0.29813  1.00000  0.00000  
 
Distorted superstructure 
a=7.85280, b=7.85280, c=30.36220, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x        y         z        occ     displ 
K1   1a    0.25000   0.25000  0.25000  1.00000  0.00000  
K5   1a    0.25000   0.25000  0.75000  1.00000  0.00000  
K3   1a    0.25000   0.75000  0.25000  1.00000  0.00000  
K7   1a    0.25000   0.75000  0.75000  1.00000  0.00000  
K2   1a    0.75000   0.25000  0.25000  1.00000  0.00000  
K6   1a    0.75000   0.25000  0.75000  1.00000  0.00000  
K4   1a    0.75000   0.75000  0.25000  1.00000  0.00000  
K8   1a    0.75000   0.75000  0.75000  1.00000  0.00000  
Pb1  1a    0.25000   0.23617  0.07337  1.00000  0.10860  
Pb5  1a    0.25000   0.26383  0.57337  1.00000  0.10860  
