
Parent structure (1 P1)
a=3.90481, b=3.90481, c=15.14470, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x        y        z         occ  
Ca14 1a    0.75000  0.25000  0.92595  1.00000  0.00000  
Ca10 1a    0.75000  0.25000  0.42595  1.00000  0.00000  
Ca15 1a    0.25000  0.75000  0.92595  1.00000  0.00000  
Ca11 1a    0.25000  0.75000  0.42595  1.00000  0.00000  
Ca13 1a    0.25000  0.25000  0.92595  1.00000  0.00000  
Ca9  1a    0.25000  0.25000  0.42595  1.00000  0.00000  
Nb1  1a    0.00000  0.00000  0.00000  1.00000  0.00000  
Nb5  1a    0.00000  0.00000  0.50000  1.00000  0.00000  
Nb3  1a    0.00000  0.50000  0.00000  1.00000  0.00000  
Nb7  1a    0.00000  0.50000  0.50000  1.00000  0.00000  
Nb2  1a    0.50000  0.00000  0.00000  1.00000  0.00000  
Nb6  1a    0.50000  0.00000  0.50000  1.00000  0.00000  
Nb4  1a    0.50000  0.50000  0.00000  1.00000  0.00000  
Nb8  1a    0.50000  0.50000  0.50000  1.00000  0.00000  
Nb9  1a    0.00000  0.00000  0.13883  1.00000  0.00000  
Nb13 1a    0.00000  0.00000  0.63883  1.00000  0.00000  
Nb11 1a    0.00000  0.50000  0.13883  1.00000  0.00000  
Nb15 1a    0.00000  0.50000  0.63883  1.00000  0.00000  
Nb10 1a    0.50000  0.00000  0.13883  1.00000  0.00000  
Nb14 1a    0.50000  0.00000  0.63883  1.00000  0.00000  
Nb12 1a    0.50000  0.50000  0.13883  1.00000  0.00000  
Nb16 1a    0.50000  0.50000  0.63883  1.00000  0.00000  
Nb21 1a    0.00000  0.00000  0.86117  1.00000  0.00000  
Nb17 1a    0.00000  0.00000  0.36117  1.00000  0.00000  
Nb23 1a    0.00000  0.50000  0.86117  1.00000  0.00000  
Nb19 1a    0.00000  0.50000  0.36117  1.00000  0.00000  
Nb22 1a    0.50000  0.00000  0.86117  1.00000  0.00000  
Nb18 1a    0.50000  0.00000  0.36117  1.00000  0.00000  
Nb24 1a    0.50000  0.50000  0.86117  1.00000  0.00000  
Nb20 1a    0.50000  0.50000  0.36117  1.00000  0.00000  
O3   1a    0.00000  0.75000  0.00000  1.00000  0.00000  
O7   1a    0.00000  0.75000  0.50000  1.00000  0.00000  
O1   1a    0.00000  0.25000  0.00000  1.00000  0.00000  
O5   1a    0.00000  0.25000  0.50000  1.00000  0.00000  
O4   1a    0.50000  0.75000  0.00000  1.00000  0.00000  
O8   1a    0.50000  0.75000  0.50000  1.00000  0.00000  
O2   1a    0.50000  0.25000  0.00000  1.00000  0.00000  
O6   1a    0.50000  0.25000  0.50000  1.00000  0.00000  
